 Date, Team, Acquired, Relinquished, Notes
2011-04-10, Bobcats, , • Tyrus Thomas, sore left knee (DNP)
2011-04-10, Magic, , • J.J. Redick, lower abdominal strain (DNP)
2011-04-10, Nets, , • Anthony Morrow, left knee tendinitis (DNP)
2011-04-10, Nets, , Damion James, sore right foot (DNP)
2011-04-10, Pistons, , • DaJuan Summers, ill (DNP)
2011-04-10, Pistons, , • Will Bynum, strained right knee (DNP)
2011-04-10, Raptors, , • Amir Johnson, sore left ankle (DNP)
2011-04-10, Raptors, , • Jose Calderon, sore/strained left hamstring (DNP)
2011-04-10, Raptors, , • Sonny Weems, sore right knee (DTD)
2011-04-11, Bobcats, , • Eduardo Najera, lower back spasms (DNP)
2011-04-11, Bobcats, , • Stephen Jackson, strained left hamstring (DNP)
2011-04-11, Bobcats, , • Tyrus Thomas, sore left knee (DNP)
2011-04-11, Cavaliers, , • Anthony Parker, back spasms (DNP)
2011-04-11, Celtics, , • Paul Pierce, rest (DNP)
2011-04-11, Celtics, , • Ray Allen, rest (DNP)
2011-04-11, Jazz, , • Kyrylo Fesenko, fractured right thumb (DNP)
2011-04-11, Jazz, , • Ronnie Price, strained left calf (DNP)
2011-04-11, Kings, , • Tyreke Evans, sprained left ankle (DNP)
2011-04-11, Magic, , • Gilbert Arenas, sore left knee (DNP)
2011-04-11, Magic, , • J.J. Redick, lower abdominal strain (DNP)
2011-04-11, Nets, , • Anthony Morrow, left knee tendinitis (DNP)
2011-04-11, Nets, , • Deron Williams, surgery on right wrist to remove bone fragments and scar tissue (out for season)
2011-04-11, Nets, , • Mario West, separated left shoulder (DNP)
 Date, Team, Acquired, Relinquished, Notes
2011-04-11, Nets, , Damion James, sore right foot (DNP)
2011-04-11, Nuggets, , • Al Harrington, right Achilles tendon injury / rest (DNP)
2011-04-11, Nuggets, , • Danilo Gallinari, sprained right ankle (DNP)
2011-04-11, Pistons, , • Tracy McGrady, rest (DNP)
2011-04-11, Pistons, , • Will Bynum, strained right knee (DNP)
2011-04-11, Raptors, , • Amir Johnson, sore left ankle (DNP)
2011-04-11, Raptors, , • Reggie Evans, sore left index finger (DNP)
2011-04-11, Raptors, , • Sonny Weems, sore right knee (DNP)
2011-04-11, Rockets, , • Kyle Lowry, sore left foot (DNP)
2011-04-11, Rockets, , • Luis Scola, sore left knee (DNP)
2011-04-11, Suns, , • Vince Carter, bruised left hip / knee injury (DNP)
2011-04-11, Timberwolves, , • Darko Milicic, sprained left ankle (DNP)
2011-04-11, Warriors, , • Monta Ellis, concussion (DNP)
2011-04-11, Wizards, , • Hamady Ndiaye / Hamady N'Diaye, strained patella tendon nin left knee (DNP)
2011-04-11, Wizards, , • Nick Young, bruised left knee (DNP)
2011-04-12, Bucks, , • Andrew Bogut, arthroscopic surgery on right elbow to remove loose particles and scar tissue (out for season)
2011-04-12, Grizzlies, , • Tony Allen, rest (DNP)
2011-04-12, Grizzlies, , • Zach Randolph, left elbow injury  / rest (DNP)
2011-04-12, Hornets, , • David West, surgery on left knee to repair torn ACL (out for season)
2011-04-12, Lakers, , • Andrew Bynum, hyperextended right knee (left game)
2011-04-12, Lakers, , • Matt Barnes, sore right knee (DNP)
2011-04-12, Lakers, , • Steve Blake, chicken pox (DNP)
2011-04-12, Spurs, , • (William) Tony Parker, rest (DNP)
2011-04-12, Spurs, , • Tim Duncan, rest (DNP)
2011-04-13, Blazers, , • Brandon Roy, rest (DNP)
 Date, Team, Acquired, Relinquished, Notes
2011-04-13, Blazers, , • Gerald Wallace, rest (DNP)
2011-04-13, Blazers, , • LaMarcus Aldridge, rest (DNP)
2011-04-13, Blazers, , • Marcus Camby, rest (DNP)
2011-04-13, Bobcats, , • Eduardo Najera, lower back spasms (DNP)
2011-04-13, Bobcats, , • Stephen Jackson, strained left hamstring (DNP)
2011-04-13, Bobcats, , • Tyrus Thomas, sore left knee (DNP)
2011-04-13, Bulls, , • Ronnie Brewer, sprained left thumb (DNP)
2011-04-13, Cavaliers, , • Baron Davis, back spasms (DNP)
2011-04-13, Cavaliers, , Semih Erden, sore right heel (DNP)
2011-04-13, Celtics, , • Delonte West, sprained right ankle (DNP)
2011-04-13, Celtics, , • Jermaine O'Neal, rest (DNP)
2011-04-13, Celtics, , • Paul Pierce, rest (DNP)
2011-04-13, Celtics, , • Ray Allen, rest (DNP)
2011-04-13, Grizzlies, , • Mike Conley Jr., rest (DNP)
2011-04-13, Grizzlies, , • Tony Allen, knee injury / rest (DNP)
2011-04-13, Grizzlies, , • Zach Randolph, rest (DNP)
2011-04-13, Heat, , • Chris Bosh, rest (DNP)
2011-04-13, Heat, , • Dwyane Wade, rest (DNP)
2011-04-13, Heat, , • LeBron James, rest (DNP)
2011-04-13, Heat, , • Mike Miller, thumb injury (DTD)
2011-04-13, Jazz, , • C.J. Miles, partial muscle tear / left knee injury (CBC) (DNP)
2011-04-13, Jazz, , • Kyrylo Fesenko, fractured right thumb (DNP)
2011-04-13, Jazz, , • Ronnie Price, strained left calf (DNP)
2011-04-13, Knicks, , • Chauncey Billups, rest (DNP)
2011-04-13, Lakers, , • Steve Blake, chicken pox (DNP)
 Date, Team, Acquired, Relinquished, Notes
2011-04-13, Magic, , • Gilbert Arenas, sore left knee / rest (DNP)
2011-04-13, Magic, , • J.J. Redick, lower abdominal strain (DNP)
2011-04-13, Nets, , • Anthony Morrow, left knee tendinitis (DNP)
2011-04-13, Nets, , • Mario West, left shoulder injury (DNP)
2011-04-13, Nets, , Damion James, sore right foot (DNP)
2011-04-13, Nuggets, , • Arron Afflalo, hamstring injury / rest (DNP)
2011-04-13, Nuggets, , • Danilo Gallinari, sprained right ankle (DNP)
2011-04-13, Nuggets, , • Kenyon Martin, rest (DNP)
2011-04-13, Nuggets, , • Raymond Felton, rest (DNP)
2011-04-13, Pistons, , • Tracy McGrady, rest (DNP)
2011-04-13, Pistons, , • Will Bynum, strained right knee (DNP)
2011-04-13, Raptors, , • Amir Johnson, sore left ankle (DNP)
2011-04-13, Raptors, , • Jose Calderon, sore/strained left hamstring (DNP)
2011-04-13, Raptors, , • Reggie Evans, sore left index finger (DNP)
2011-04-13, Raptors, , • Sonny Weems, sore right knee (DNP)
2011-04-13, Rockets, , • Kyle Lowry, sore left foot / knee (CBC) (DNP)
2011-04-13, Rockets, , • Luis Scola, sore left knee (DNP)
2011-04-13, Timberwolves, , • Darko Milicic, sprained left ankle (DNP)
2011-04-13, Warriors, , • Monta Ellis, concussion (DNP)
2011-04-13, Wizards, , • Nick Young, bruised left knee (DNP)
2011-04-16, Cavaliers, , • Ramon Sessions, surgery to repair hernia (out indefinitely)
2011-04-16, Cavaliers, , Samardo Samuels, surgery on right wrist (out indefinitely)
2011-04-16, Cavaliers, , Semih Erden, surgery to repair separated left shoulder (out indefinitely)
2011-04-18, Rockets, , • Luis Scola, arthroscopic surgery on left knee (out indefinitely)
2011-04-22, Magic, , • Chris Duhon, sprained left ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2011-05-04, Knicks, , • Toney Douglas, surgery on right shoulder to repair torn labrum (out indefinitely)
2011-05-04, Nets, , • Brook Lopez, surgery on upper right arm to remove bone mass and calcium deposit (out indefinitely)
2011-05-10, Bobcats, , • Gerald Henderson (b), surgery on left hip to repair torn labrum (out indefinitely)
2011-05-25, Bulls, , • Omer Asik, stress fracture in left fibula (out for season)
2011-05-25, Warriors, , • Stephen Curry, surgery on right ankle (out indefinitely)
2011-06-03, Raptors, , • Amir Johnson, surgery on left ankle (out indefinitely)
2011-06-08, Hawks, , • Marvin Williams, surgery on back to repair bulging disc (out indefinitely)
2011-06-15, Kings, , • Jason Thompson, fractured right big toe (out for season)
2011-06-27, Mavericks, , • Rodrigue Beaubois, surgery on left foot (out indefinitely)
2011-09-28, Timberwolves, , • Martell Webster, surgery on back (out indefinitely)
2011-10-07, Clippers, , • Eric Bledsoe, surgery on right knee to repair torn lateral meniscus (out indefinitely)
2011-12-01, Heat, , • Mike Miller, surgery to repair hernia (out indefinitely) (date approximate)
2011-12-09, Blazers, , • LaMarcus Aldridge, underwent procedure on heart for Wolff-Parkinson-White Syndrome (irregular heartbeat) (DTD)
2011-12-12, Spurs, , • Gary Neal, appendectomy (out indefinitely)
2011-12-14, Lakers, , • Derrick Caracter, surgery on left knee to repair torn menuscus (out indefinitely)
2011-12-16, Bobcats, , • Reggie Williams, torn meniscus in left knee (out indefinitely)
2011-12-16, Bobcats, , Eduardo Najera, surgery on left knee to repair torn cartilage (out indefinitely)
2011-12-17, Celtics, , • Jeff Green, surgery on heart to repair aortic aneurysm (out for season)
2011-12-20, Grizzlies, , • Darrell Arthur, ruptured right Achilles tendon (out for season)
2011-12-22, Nets, , • Brook Lopez, surgery on right foot to repair stress fracture (out indefinitely)
2011-12-25, Blazers, , • Greg Oden, surgery on left knee (out indefinitely)
2011-12-25, Bobcats, , • Reggie Williams, surrgery on left knee to repair torn meniscus (out indefinitely)
2011-12-25, Cavaliers, , Semih Erden, left thumb injury (out indefinitely)
2011-12-25, Clippers, , • Reggie Evans, sprained right foot (DNP)
2011-12-25, Grizzlies, , • Xavier Henry, right ankle injury (out indefinitely)
 Date, Team, Acquired, Relinquished, Notes
2011-12-25, Hawks, , • Kirk Hinrich, surgery on left shoulder (out indefinitely)
2011-12-25, Hornets, , • DaJuan Summers, hyperextended right knee (out indefinitely)
2011-12-25, Knicks, , • Iman Shumpert, sprained MCL in right knee (out indefinitely)
2011-12-25, Knicks, , Mike Bibby, sore back (DNP)
2011-12-25, Raptors, , Linas Kleiza, recovering from microfracture surgery on right knee to repair cartilage damage (out indefinitely)
2011-12-25, Timberwolves, , • Brad Miller, surgery on left knee (out indefinitely)
2011-12-25, Clippers, , • Eric Bledsoe, surgery on right knee to repair torn lateral meniscus (out indefinitely)
2011-12-25, Clippers, , • Eric Bledsoe, torn lateral meniscus in right knee (DNP)
2011-12-26, 76ers, , • Andres Nocioni, toe injury (DTD)
2011-12-26, Bobcats, , • Tyrus Thomas, sprained left ankle (DNP)
2011-12-26, Bucks, , • Carlos Delfino, sprained right wrist (DNP)
2011-12-26, Timberwolves, , • Nikola Pekovic, groin injury (DTD)
2011-12-27, Lakers, , • Matt Barnes, hip injury (DNP)
2011-12-27, Nets, , • Jordan Williams, dehydration (DTD)
2011-12-28, Bobcats, , • Tyrus Thomas, sprained left ankle (DNP)
2011-12-28, Celtics, , • Chris Wilcox, bruised left shoulder (DNP)
2011-12-28, Hornets, , • Eric Gordon, bruised right knee (DNP)
2011-12-28, Knicks, , • Jared Jeffries, calf injury (DTD)
2011-12-30, Bobcats, , • Tyrus Thomas, sprained left ankle (DNP)
2011-12-30, Clippers, , • Chauncey Billups, sore right groin (DNP)
2011-12-30, Clippers, , • Eric Bledsoe, torn lateral meniscus in right knee (DNP)
2011-12-30, Clippers, , • Reggie Evans, sprained right foot (DNP)
2011-12-30, Grizzlies, , • Mike Conley Jr., sprained left ankle (DNP)
2011-12-30, Hawks, , • Jason Collins, knee injury (DNP)
2011-12-30, Hornets, , • Eric Gordon, bruised right knee (DNP)
 Date, Team, Acquired, Relinquished, Notes
2011-12-30, Jazz, , • Al Jefferson, sprained right ankle (DNP)
2011-12-30, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, strained left hamstring (DNP)
2011-12-30, Timberwolves, , • Malcolm Lee / Malcom Lee, surgery on left knee to repair torn meniscus (DNP)
2011-12-30, Timberwolves, , • Nikola Pekovic, strained left adductor muscle (DNP)
2011-12-31, 76ers, • Andres Nocioni, , returned to lineup
2011-12-31, Knicks, , • Amare Stoudemire / Amar'e Stoudemire, sprained left ankle (DNP)
2012-01-01, Bobcats, , • Tyrus Thomas, sprained left ankle (DNP)
2012-01-01, Bulls, , • Richard Hamilton, sore left groin (DNP)
2012-01-01, Clippers, , • Chauncey Billups, sore right groin (DNP)
2012-01-01, Clippers, , • Eric Bledsoe, torn lateral meniscus in right knee (DNP)
2012-01-01, Clippers, , • Reggie Evans, sprained right foot (DNP)
2012-01-01, Grizzlies, , • Mike Conley Jr., sprained left ankle (DNP)
2012-01-01, Hornets, , • Eric Gordon, bruised right knee (DNP)
2012-01-01, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-01, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-01, Grizzlies, , • Xavier Henry, sprained right ankle (DNP)
2012-01-02, Bucks, , • Mike Dunleavy Jr., illness (DNP)
2012-01-02, Heat, , Mickell Gladness, left foot infection (DNP)
2012-01-02, Hornets, , • Eric Gordon, bruised right knee (DNP)
2012-01-02, Knicks, , • Amare Stoudemire / Amar'e Stoudemire, sprained left ankle (DNP)
2012-01-02, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-02, Spurs, , • Emanuel Ginobili / Manu Ginobili, broken bone in left hand (out indefinitely)
2012-01-02, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, strained left hamstring (DNP)
2012-01-02, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-03, Bobcats, , • Tyrus Thomas, sprained left ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-03, Bucks, , • Beno Udrih, sprained/bruised left shoulder (DNP)
2012-01-03, Bucks, , • Mike Dunleavy Jr., sore groin (DNP)
2012-01-03, Bulls, , • C.J. Watson, sprained left elbow (DNP)
2012-01-03, Grizzlies, , • Xavier Henry, sprained right ankle (DNP)
2012-01-04, 76ers, , • Nikola Vucevic, strained back (DNP)
2012-01-04, Bobcats, , • Tyrus Thomas, sprained left ankle (DNP)
2012-01-04, Bulls, , • C.J. Watson, sprained left elbow (DNP)
2012-01-04, Clippers, , • Reggie Evans, sprained right foot (DNP)
2012-01-04, Heat, , • Dwyane Wade, bruised left foot (DNP)
2012-01-04, Heat, , Mickell Gladness, left foot infection (DNP)
2012-01-04, Hornets, , • Trevor Ariza, strained groin (DNP)
2012-01-04, Nets, , • Deron Williams, sore ribs on right side (DNP)
2012-01-04, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-04, Thunder, , Ryan Reid, surgery to repair broken nose (out indefinitely)
2012-01-04, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, strained left hamstring (DNP)
2012-01-04, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-05, Bucks, , • Luc Richard Mbah a Moute / Luc Mbah a Moute, right knee tendinitis (DNP)
2012-01-05, Bucks, , • Mike Dunleavy Jr., sore groin (DNP)
2012-01-05, Heat, , • Dwyane Wade, bruised left foot (DNP)
2012-01-05, Heat, , Mickell Gladness, left foot infection (DNP)
2012-01-05, Kings, , • Donte Greene, personal reasons (DNP)
2012-01-05, Knicks, , Mike Bibby, foot injury (DNP)
2012-01-06, Hornets, , • Eric Gordon, bruised right knee (DNP)
2012-01-06, Hornets, , • Trevor Ariza, strained groin (DNP)
2012-01-06, Kings, , • Chuck Hayes, dislocated left shoulder (out indefinitely)
 Date, Team, Acquired, Relinquished, Notes
2012-01-06, Magic, , • DeAndre Liggins, allergic reaction (DTD)
2012-01-06, Nets, , • MarShon Brooks, sprained left ankle (DNP)
2012-01-06, Nets, , Damion James, sprained right ankle (DTD)
2012-01-06, Pacers, , • Lance Stephenson, sprained left ankle (DTD)
2012-01-06, Pistons, , • Rodney Stuckey, groin injury (DTD)
2012-01-06, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-06, Rockets, , • Kyle Lowry, bruised right foot (DTD)
2012-01-06, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, strained left hamstring (DNP)
2012-01-06, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-06, Timberwolves, • Nikola Pekovic, , returned to lineup
2012-01-06, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-07, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-07, Bucks, , • Beno Udrih, sprained/bruised left shoulder (DNP)
2012-01-07, Bucks, , • Luc Richard Mbah a Moute / Luc Mbah a Moute, right knee tendinitis (DNP)
2012-01-07, Bulls, , • C.J. Watson, sprained left elbow (DNP)
2012-01-07, Heat, , • Dwyane Wade, bruised left foot (DNP)
2012-01-07, Heat, , • LeBron James, sprained left ankle (DNP)
2012-01-07, Hornets, , • Eric Gordon, bruised right knee (DNP)
2012-01-07, Hornets, , • Trevor Ariza, strained groin (DNP)
2012-01-07, Mavericks, , • Jason Kidd, strained lower back (DNP)
2012-01-07, Nets, , Damion James, sore right foot (DNP)
2012-01-07, Nuggets, , • Nene / Nene Hilario / Maybyner Hilario, bruised left heel (DNP)
2012-01-07, Pacers, , • Jeff Pendergraph / Jeff Ayres, sprained right knee (DTD)
2012-01-07, Pistons, , • Austin Daye, sore right ankle (DNP)
2012-01-07, Pistons, , • Charlie Villanueva, sore right ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-07, Pistons, , • Rodney Stuckey, sore groin (DNP)
2012-01-07, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-07, Rockets, , • Kyle Lowry, bruised right foot (DTD)
2012-01-07, Timberwolves, , • Michael Beasley, sprained right foot (out indefinitely)
2012-01-08, Bucks, , • Beno Udrih, sprained/bruised left shoulder (DNP)
2012-01-08, Bucks, , • Luc Richard Mbah a Moute / Luc Mbah a Moute, right knee tendinitis (DNP)
2012-01-08, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-08, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, strained left hamstring (DNP)
2012-01-08, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-08, Timberwolves, , • Michael Beasley, sprained right foot (DNP)
2012-01-08, Wizards, , • Rashard Lewis, sore right knee (DNP)
2012-01-09, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-09, Bulls, , • C.J. Watson, sprained left elbow (DNP)
2012-01-09, Hornets, , • Eric Gordon, bruised right knee (DNP)
2012-01-09, Nets, , • DeShawn Stevenson, sore right knee (DNP)
2012-01-09, Pacers, , • Danny Granger, food poisoning (DNP)
2012-01-09, Pacers, , • George Hill, sore back (DNP)
2012-01-09, Pistons, , • Charlie Villanueva, sore right ankle (DNP)
2012-01-09, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-09, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-09, Nets, , • Mehmet Okur, back spasms (DNP)
2012-01-10, Bobcats, , • Tyrus Thomas, sprained left ankle (DNP)
2012-01-10, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-10, Bucks, , • Beno Udrih, sprained/bruised left shoulder (DNP)
2012-01-10, Bulls, , • C.J. Watson, sprained left elbow (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-10, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-10, Kings, , • Marcus Thornton (T.), bruised left thigh (DNP)
2012-01-10, Lakers, , • Troy Murphy, gastroenteritis (DNP)
2012-01-10, Pistons, , • Charlie Villanueva, sore right ankle (DNP)
2012-01-10, Pistons, , • Rodney Stuckey, sore groin (DNP)
2012-01-10, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-10, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-10, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-11, 76ers, , • Spencer Hawes, strained lower back (DNP)
2012-01-11, Bulls, , • Derrick Rose, sprained left big toe (DNP)
2012-01-11, Bulls, , • Richard Hamilton, sore left groin (DNP)
2012-01-11, Celtics, , • Marquis Daniels, illness (DNP)
2012-01-11, Hawks, , • Tracy McGrady, back spasms (DNP)
2012-01-11, Hornets, , • Eric Gordon, bruised right knee (DNP)
2012-01-11, Jazz, , • Jeremy Evans, flu (DNP)
2012-01-11, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-11, Lakers, , • Troy Murphy, gastroenteritis (DNP)
2012-01-11, Nets, , • DeShawn Stevenson, sore right knee (DNP)
2012-01-11, Nuggets, , • Ty Lawson, strained right foot (DNP)
2012-01-11, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-11, Wizards, , Andray Blatche, sore right shoulder (DTD)
2012-01-12, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-12, Hawks, , • Tracy McGrady, back spasms (DNP)
2012-01-12, Pistons, , • Charlie Villanueva, sore right ankle (DNP)
2012-01-12, Warriors, , • Dorell Wright, bruised left knee (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-12, Bucks, , • Luc Richard Mbah a Moute / Luc Mbah a Moute, right knee tendinitis (DNP)
2012-01-12, Hawks, , • Marvin Williams, sprained left ankle (DNP)
2012-01-13, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-13, Bobcats, , DeSagana Diop, right knee inflammation (DNP)
2012-01-13, Bucks, , • Andrew Bogut, concussion (DNP)
2012-01-13, Bucks, , • Luc Richard Mbah a Moute / Luc Mbah a Moute, right knee tendinitis (DNP)
2012-01-13, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-13, Lakers, , • Metta World Peace / Ron Artest, rest (DNP)
2012-01-13, Nets, , • Dennis Horner, sprained left ankle (DNP)
2012-01-13, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-01-13, Pistons, , • Charlie Villanueva, sore right ankle (DNP)
2012-01-13, Raptors, , • Andrea Bargnani, strained left calf (DNP)
2012-01-13, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-13, Suns, , • Grant Hill, strained right quadriceps (DNP)
2012-01-13, Suns, , • Steve Nash, bruised right quadricep (DNP)
2012-01-13, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, sprained left ankle (DNP)
2012-01-13, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-13, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-13, Wizards, , Andray Blatche, sore right shoulder (DTD)
2012-01-14, Blazers, , • Marcus Camby, sprained left ankle (DNP)
2012-01-14, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-14, Celtics, , • Chris Wilcox, sore left calf (DNP)
2012-01-14, Clippers, , • Maurice Williams / Mo Williams, sore right foot (DNP)
2012-01-14, Hawks, , • Tracy McGrady, back spasms (DNP)
2012-01-14, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-14, Nets, , • Shawne Williams, shin splits (DNP)
2012-01-14, Raptors, , • Andrea Bargnani, strained left calf (DNP)
2012-01-14, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-14, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, sprained left ankle (DNP)
2012-01-14, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-14, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-15, Jazz, , • Josh Howard, strained left quadricep (DNP)
2012-01-15, Pistons, , • Charlie Villanueva, sore right ankle (DNP)
2012-01-15, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-15, Spurs, , • Malcolm Thomas (b), gastroenteritis (DNP)
2012-01-16, 76ers, , • Evan Turner, bruised right quadricep (DNP)
2012-01-16, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-16, Bulls, , • Derrick Rose, sprained left big toe / turf toe (DNP)
2012-01-16, Clippers, , • Chris Paul, strained left hamstring (DNP)
2012-01-16, Clippers, , • Maurice Williams / Mo Williams, sore right foot (DNP)
2012-01-16, Hornets, , • Eric Gordon, bruised right knee (DNP)
2012-01-16, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-16, Nets, , • Shawne Williams, shin splits (DNP)
2012-01-16, Raptors, , • Andrea Bargnani, strained left calf (DNP)
2012-01-16, Raptors, , • James Johnson, sprained right ankle (DNP)
2012-01-16, Raptors, , • Jerryd Bayless, sprained left ankle (DNP)
2012-01-16, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, sprained left ankle (DNP)
2012-01-16, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-16, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-16, Wizards, , • Rashard Lewis, sore right knee (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-17, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-17, Clippers, , • Chris Paul, strained left hamstring (DNP)
2012-01-17, Clippers, , • Maurice Williams / Mo Williams, sore right foot (DNP)
2012-01-17, Hawks, , • Al Horford, surgery to repair torn left pectoral muscle (out for season)
2012-01-17, Heat, , • Dwyane Wade, sprained right ankle (DNP)
2012-01-17, Jazz, , • Derrick Favors, sprained left ankle (DNP)
2012-01-17, Jazz, , • Josh Howard, strained left quadricep (DNP)
2012-01-17, Pistons, , • Charlie Villanueva, sore right ankle (DNP)
2012-01-17, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-18, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-01-18, Clippers, , • Chris Paul, strained left hamstring (DNP)
2012-01-18, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-18, Knicks, , • Bill Walker, sore right knee (DNP)
2012-01-18, Mavericks, , • Vince Carter, sprained left foot (DNP)
2012-01-18, Nets, , • Shawne Williams, shin splits (DNP)
2012-01-18, Nuggets, , • Timofey Mozgov, strained lower back (DNP)
2012-01-18, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-01-18, Pacers, , • Jeff Pendergraph / Jeff Ayres, concussion (DNP)
2012-01-18, Pistons, , • Charlie Villanueva, sore right ankle (DNP)
2012-01-18, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-18, Raptors, , • Andrea Bargnani, strained left calf (DNP)
2012-01-18, Thunder, , • Eric Maynor, surgery on right knee to repair torn ACL (out for season)
2012-01-18, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-18, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-19, Jazz, , • Jamaal Tinsley, dermatitis (DTD)
 Date, Team, Acquired, Relinquished, Notes
2012-01-19, Jazz, , • Josh Howard, strained left quadricep (DNP)
2012-01-19, Mavericks, , • Vince Carter, sprained left foot (DNP)
2012-01-19, Warriors, , • Kwame Brown, surgery to repair torn pectoralis major muscle in chest
2012-01-20, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-01-20, Celtics, , • Rajon Rondo, sprained right wrist (DNP)
2012-01-20, Clippers, , • Chris Paul, strained left hamstring (DNP)
2012-01-20, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-20, Nuggets, , • Nene / Nene Hilario / Maybyner Hilario, bruised right heel (DNP)
2012-01-20, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-01-20, Pistons, , • Rodney Stuckey, sore groin (DNP)
2012-01-20, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-20, Raptors, , • Andrea Bargnani, strained left calf (DNP)
2012-01-20, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, sprained left ankle (DNP)
2012-01-20, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-21, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
